Model,Family,Platform,Launch_Date,CPU_Core,Threads,Base_Clock_GHz,Boost_Clock_GHz,L1_Cache,L2_Cache,L3_Cache,Unlocked_for_Overclocking,Chip_lithography,CPU_Socket,PCI_Express_Version,Default_TDP,Max._Operating_Temperature_(Tjmax),System_Memory_Type,Graphics_Model
4280,AMD Opteron,Server,,8.0,8.0,2.8GHz,Up to 2.2GHz,384KB,8MB,8MB,No,32nm,C32,,95W,70.50°C,DDR3,nan
E1-6010,AMD E-Series Processors,Laptop,,2.0,2.0,1.35GHz,,,1MB,,No,28nm,FT3b,,10W,,Not Listed,AMD Radeon R2 Graphics
E1-2500,AMD E-Series Processors,Laptop,,2.0,2.0,1.4GHz,,,1MB,,No,28nm,FT3,,15W,,Not Listed,AMD Radeon HD 8240
4276-HE,AMD Opteron,Server,,8.0,8.0,2.6GHz,Up to 3.6GHz,384KB,8MB,8MB,No,32nm,C32,,65W,68°C,DDR3,nan
E1-2200,AMD E-Series Processors,Laptop,,2.0,2.0,1.0GHz,,,1MB,,No,28nm,FT3,,9W,,Not Listed,AMD Radeon HD 8210
4274-HE,AMD Opteron,Server,,8.0,8.0,2.5GHz,Up to 3.5GHz,384KB,8MB,8MB,No,32nm,C32,,65W,68°C,DDR3,nan
E1-2100,AMD E-Series Processors,Laptop,,2.0,2.0,1.0GHz,,,1MB,,No,28nm,FT3,,9W,,Not Listed,AMD Radeon HD 8210
4256-EE,AMD Opteron,Server,,8.0,8.0,1.6GHz,Up to 2.8GHz,384KB,8MB,8MB,No,32nm,C32,,35W,64°C,DDR3,nan
4240,AMD Opteron,Server,,6.0,6.0,3.4GHz,Up to 3.8GHz,288KB,6MB,8MB,No,32nm,C32,,95W,70.50°C,DDR3,nan
4238,AMD Opteron,Server,,6.0,6.0,3.3GHz,Up to 3.7GHz,288KB,6MB,8MB,No,32nm,C32,,95W,70.50°C,DDR3,nan
4234,AMD Opteron,Server,,6.0,6.0,3.1GHz,Up to 3.5GHz,288KB,6MB,8MB,No,32nm,C32,,95W,70.50°C,DDR3,nan
E1-7010,AMD E-Series Processors,All-in-One,,2.0,2.0,1.5GHz,Up to 1.5GHz,,1MB,,No,28nm,FP4,,,90°C,DDR3L,AMD Radeon R2 Graphics
4230-HE,AMD Opteron,Server,,6.0,6.0,2.9GHz,Up to 3.7GHz,288KB,6MB,8MB,No,32nm,C32,,65W,68°C,DDR3,nan
4228-HE,AMD Opteron,Server,,6.0,6.0,2.8GHz,Up to 3.6GHz,288KB,6MB,8MB,No,32nm,C32,,65W,68°C,DDR3,nan
4226,AMD Opteron,Server,,6.0,6.0,2.7GHz,Up to 3.1GHz,288KB,6MB,8MB,No,32nm,C32,,95W,70.50°C,DDR3,nan
3380,AMD Opteron,Server,,8.0,8.0,2.6GHz,Up to 3.6GHz,384KB,8MB,8MB,No,32nm,AM3+,,65W,70.30°C,DDR3,nan
3365,AMD Opteron,Server,,8.0,8.0,2.3GHz,Up to 3.3GHz,384KB,8MB,8MB,No,32nm,AM3+,,65W,70.30°C,DDR3,nan
3350-HE,AMD Opteron,Server,,4.0,4.0,2.8GHz,Up to 3.8GHz,192KB,4MB,8MB,No,32nm,AM3+,,45W,69.10°C,DDR3,nan
3320-EE,AMD Opteron,Server,,4.0,4.0,1.9GHz,Up to 2.5GHz,192KB,4MB,8MB,No,32nm,AM3+,,25W,70°C,DDR3,nan
3280,AMD Opteron,Server,,8.0,8.0,2.4GHz,Up to 3.4GHz,384KB,8MB,8MB,No,32nm,AM3+,,65W,61.10°C,DDR3,nan
3260-HE,AMD Opteron,Server,,4.0,4.0,2.7GHz,Up to 3.7GHz,192KB,4MB,4MB,No,32nm,AM3+,,45W,61.10°C,DDR3,nan
Opteron-X2170,AMD Opteron,Server,,4.0,4.0,2.4GHz,,,2MB,,,28nm,FT3,,25W,,DDR3,nan
3250-HE,AMD Opteron,Server,,,,2.5GHz,Up to 3.5GHz,192KB,4MB,4MB,No,32nm,AM3+,,45W,,DDR3,nan
Opteron-X2150,AMD Opteron,Server,,4.0,4.0,1.9GHz,,,2MB,,No,28nm,FT3,,22W,,DDR3,AMD Radeon HD 8400
TL-64,AMD Turion,Laptop,,2.0,2.0,2.2GHz,,,1MB,,No,,S1,,35W,95°C,DDR2,Discrete Graphics Card Required
TL-60,AMD Turion,Laptop,,2.0,2.0,2.0GHz,,,1MB,,No,,S1,,31W,,DDR2,Discrete Graphics Card Required
TL-56,AMD Turion,Laptop,,,,1.8GHz,,,,,No,,S1,,31W,,Not Listed,Discrete Graphics Card Required
TL-52,AMD Turion,Laptop,,2.0,2.0,1.6GHz,,,2MB,,No,,S1,,31W,,Not Listed,Discrete Graphics Card Required
